Calibration config:
trend_soft=2 | setup_soft=6 | entry_soft=5 | entry_max_extension=1.6
symbols_count=375
dynamic_symbols_file=data/dynamic_symbols.txt | min_stage=setup

SYMBOL         | STATUS | 12H      | 4H        | 4H_STATE                 | 1H   | 1H_STATE                 | EXT_ATR | VOL_R | RR   | RISK% | NOTE                                                                                                                                                                                    
FILUSDT        | OK     | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP | higher_timeframe_blocked | None    | None  | None | None  | Trend 12h rejected: hard conditions failed: ['close_above_ema200', 'ema50_above_ema200', 'ema200_slope_up']                                                                             
XDCUSDT        | OK     | FAIL 0/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP | higher_timeframe_blocked | None    | None  | None | None  | Trend 12h rejected: hard conditions failed: ['close_above_ema200', 'ema50_above_ema200', 'ema200_slope_up']                                                                             
VETUSDT        | OK     | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP | higher_timeframe_blocked | None    | None  | None | None  | Trend 12h rejected: hard conditions failed: ['close_above_ema200', 'ema50_above_ema200', 'ema200_slope_up']                                                                             
ZROUSDT        | OK     | PASS 2/4 | FAIL 3/10 | trend_breakdown          | SKIP | higher_timeframe_blocked | None    | None  | None | None  | 4h setup rejected: hard conditions failed: ['structure_not_broken']                                                                                                                     
PUMPUSDT       | OK     | FAIL 0/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP | higher_timeframe_blocked | None    | None  | None | None  | Trend 12h rejected: hard conditions failed: ['close_above_ema200', 'ema50_above_ema200', 'ema200_slope_up']                                                                             
NEXOUSDT       | OK     | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP | higher_timeframe_blocked | None    | None  | None | None  | Trend 12h rejected: hard conditions failed: ['close_above_ema200', 'ema50_above_ema200', 'ema200_slope_up']                                                                             
ARBUSDT        | OK     | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP | higher_timeframe_blocked | None    | None  | None | None  | Trend 12h rejected: hard conditions failed: ['close_above_ema200', 'ema50_above_ema200', 'ema200_slope_up']                                                                             
STABLEUSDT     | OK     | FAIL 0/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP | higher_timeframe_blocked | None    | None  | None | None  | Недостаточно данных для 12h trend filter                                                                                                                                                
JSTUSDT        | OK     | PASS 4/4 | FAIL 7/10 | trend_breakdown          | SKIP | higher_timeframe_blocked | None    | None  | None | None  | 4h setup rejected: hard conditions failed: ['structure_not_broken']                                                                                                                     
JUPUSDT        | OK     | FAIL 0/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP | higher_timeframe_blocked | None    | None  | None | None  | Trend 12h rejected: hard conditions failed: ['close_above_ema200', 'ema50_above_ema200', 'ema200_slope_up']                                                                             
BONKUSDT       | OK     | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP | higher_timeframe_blocked | None    | None  | None | None  | Trend 12h rejected: hard conditions failed: ['close_above_ema200', 'ema50_above_ema200', 'ema200_slope_up']                                                                             
TUSDUSDT       | OK     | FAIL 4/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP | higher_timeframe_blocked | None    | None  | None | None  | Trend 12h rejected: hard conditions failed: ['ema200_slope_up']                                                                                                                         
FETUSDT        | OK     | FAIL 3/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP | higher_timeframe_blocked | None    | None  | None | None  | Trend 12h rejected: hard conditions failed: ['close_above_ema200', 'ema50_above_ema200']                                                                                                
CAKEUSDT       | OK     | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP | higher_timeframe_blocked | None    | None  | None | None  | Trend 12h rejected: hard conditions failed: ['close_above_ema200', 'ema50_above_ema200', 'ema200_slope_up']                                                                             
ETHFIUSDT      | OK     | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP | higher_timeframe_blocked | None    | None  | None | None  | Trend 12h rejected: hard conditions failed: ['close_above_ema200', 'ema50_above_ema200', 'ema200_slope_up']                                                                             
VIRTUALUSDT    | OK     | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP | higher_timeframe_blocked | None    | None  | None | None  | Trend 12h rejected: hard conditions failed: ['close_above_ema200', 'ema50_above_ema200', 'ema200_slope_up']                                                                             
STXUSDT        | OK     | FAIL 0/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP | higher_timeframe_blocked | None    | None  | None | None  | Trend 12h rejected: hard conditions failed: ['close_above_ema200', 'ema50_above_ema200', 'ema200_slope_up']                                                                             
PENGUUSDT      | OK     | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP | higher_timeframe_blocked | None    | None  | None | None  | Trend 12h rejected: hard conditions failed: ['close_above_ema200', 'ema50_above_ema200', 'ema200_slope_up']                                                                             
SEIUSDT        | OK     | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP | higher_timeframe_blocked | None    | None  | None | None  | Trend 12h rejected: hard conditions failed: ['close_above_ema200', 'ema50_above_ema200', 'ema200_slope_up']                                                                             
XTZUSDT        | OK     | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP | higher_timeframe_blocked | None    | None  | None | None  | Trend 12h rejected: hard conditions failed: ['close_above_ema200', 'ema50_above_ema200', 'ema200_slope_up']                                                                             
CHZUSDT        | OK     | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP | higher_timeframe_blocked | None    | None  | None | None  | Trend 12h rejected: hard conditions failed: ['close_above_ema200', 'ema50_above_ema200', 'ema200_slope_up']                                                                             
SUNUSDT        | OK     | FAIL 3/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP | higher_timeframe_blocked | None    | None  | None | None  | Trend 12h rejected: hard conditions failed: ['ema50_above_ema200', 'ema200_slope_up']                                                                                                   
